,Friedel_et_al_B_cells,Tani_et_al_Hela,Schofield_et_al_K562,Mele_et_al_K562,Mele_et_al_H1-ESC,Wu_et_al_K562,Wu_et_al_293T,Arango_et_al_Hela,Wachutka_et_al_K562
ENSG00000005955,,,,3.104161,3.1449553333333333,,,,
ENSG00000005961,,,,,,,0.057311295814054,3.68117292142903,
ENSG00000006007,,14.27,,5.82367,,-0.056349996,0.0386886577264633,7.07690364870432,696.66280605933
ENSG00000006015,,3.45,,,,,0.0613441190240583,,1715.3140248105499
ENSG00000006016,,3.17,,,,,0.0418494902525453,,
ENSG00000006025,154.5,2.63,,5.153688666666667,,-0.099814826,-0.0644653603579427,2.84202470927819,181.400885167327
ENSG00000006042,,,,33.740379999999995,,-0.024432268,0.057967181381164,,
ENSG00000006047,,,,,,,0.127557917675572,4.90328411413539,
ENSG00000006062,,2.56,0.42765000000000003,,,-0.223514213,-0.106470911502971,,55.5545253039124
ENSG00000006071,,,,,,,0.0562060536646871,,
ENSG00000006114,,,,2.0191269999999997,5.054129666666666,,,,
ENSG00000006118,,11.0,,,,,0.0204549503715145,8.7321981696642,
ENSG00000006125,973.1,,6.16925,11.542556666666664,,-0.026498496,0.0745079925054241,12.0462717377538,600.591035919617
ENSG00000006128,,,,,,,0.0821536567340991,,
ENSG00000006194,33.3,2.35,0.47965,2.007679,2.059038333333333,-0.197544255,-0.0594635002785796,2.47194517589795,144.524244493437
ENSG00000006282,,6.4,,,,,-0.00429293346089334,6.62149153988932,
ENSG00000006283,,,,,,,,3.21599263838652,
ENSG00000006327,,4.28,,1.0779960666666666,2.5125886666666664,-0.267780358,-0.117981390815318,3.52975912773341,91.22660249226341
ENSG00000006377,,,,,,,-0.145716303272482,,
ENSG00000006432,,2.63,,,,-0.151527384,-0.0550168631992918,2.24999984031781,
ENSG00000006451,388.8,3.51,3.94605,5.100034666666667,5.063283333333334,-0.105429062,0.038367094089821,3.35544850198029,528.807045310627
ENSG00000006453,,3.85,1.4485999999999999,7.0119636666666665,7.214134666666666,-0.092753894,0.00478907779963246,3.60577794720682,516.809557354159
ENSG00000006459,,,0.41025,2.558054,3.2222726666666666,-0.219451088,-0.00165916936393352,,179.818115543467
ENSG00000006468,,,,3.3287986666666662,3.215652666666667,-0.132548296,0.0152663482616341,,
ENSG00000006530,1009.2,8.0,2.65245,12.10038,9.193275333333334,-0.07779258,0.0124471551959382,3.11902859963106,511.09893119239405
ENSG00000006534,,6.33,,,,,-0.0658921666469426,3.98499199382678,
ENSG00000006576,565.4,7.62,0.7799499999999999,4.855880333333333,,-0.170297678,0.0428319495752348,3.82491862347016,430.01182361041396
ENSG00000006606,,,,,13.027449333333331,,,,
ENSG00000006607,,6.5,1.8720999999999999,5.104589666666667,3.870989,-0.094938894,0.0328211001171994,3.29300336988721,155.284187471075
ENSG00000006611,,3.39,,,,,0.0812939088997274,3.62010477618757,
ENSG00000006625,,9.85,,,,-0.048191366,0.054149725855571,6.0643941749473,1628.09212683693
ENSG00000006634,177.5,2.44,0.9279,1.772975,2.3207256666666667,-0.160373763,-0.0501522979403662,2.51558054446716,279.906439562793
ENSG00000006638,,8.27,,1.9126416666666666,,,-0.115794931986435,3.63444324745869,
ENSG00000006652,211.8,4.53,,1.5404963333333332,2.189103,-0.116942971,-0.135726161496797,3.04417854245049,276.367232901421
ENSG00000006695,150.5,3.39,0.71995,1.9565396666666668,2.394947666666667,-0.163238583,-0.012564862824163,2.94578235849984,
ENSG00000006704,,3.85,1.0208,,,-0.165752255,-0.118455156618538,2.89698087095579,310.270897023409
ENSG00000006712,184.1,5.79,2.08705,2.858177,3.0886400000000003,-0.096841757,0.0179815408474131,3.37832796497616,261.411786203662
ENSG00000006715,879.0,8.67,4.1161,10.324597333333335,,-0.102526506,0.00981176502120159,6.76933413354163,472.909301985999
ENSG00000006740,,3.08,,,7.2872803333333325,,0.0635900844710669,,
ENSG00000006744,355.9,8.92,4.331049999999999,9.400571333333334,12.698650666666666,-0.091511484,0.0427316010485504,3.42580312398164,299.369706244425
ENSG00000006747,,,,,,-0.03779544,-0.073881839837931,7.96270910963232,
ENSG00000006756,,,,,,,,5.39147714056473,
ENSG00000006757,,15.14,,10.288216666666665,25.684236666666663,,0.0848479379996609,8.63132607982124,494.84388514942003
ENSG00000006831,165.0,4.57,0.6570499999999999,3.1659450000000002,2.473179,-0.160034031,0.0135855558079265,2.7551794488081,208.55089797441897
ENSG00000006837,,,,,,-0.094176792,0.0215560679679741,2.97882758141647,
ENSG00000007001,,8.0,,,,,,,
ENSG00000007038,,6.0,,23.703053333333333,,,,10.7572412086421,4100.92462845213
ENSG00000007047,350.2,4.8,1.45525,2.8854826666666664,5.903004333333334,-0.106694455,0.04407597287451,3.16450880883499,608.216052791518
ENSG00000007062,,,,,19.494113333333335,,,3.53233661280637,
ENSG00000007080,866.5,14.4,5.8849,,,,0.0675430614686263,,603.767451697086
ENSG00000007168,261.5,4.15,1.54695,,,-0.142808211,-0.0115921156645387,2.95771869195003,295.940090625538
ENSG00000007171,,,,,,,0.0315212113015229,,
ENSG00000007202,452.1,16.7,5.383850000000001,6.464282666666667,14.816326666666667,,0.0138370830640664,7.49635583032479,785.1936123482599
ENSG00000007237,,,,,,,-0.0231629690981315,3.01006917065658,
